一丝不挂	一絲不掛
万里之望	萬里之望
万里同风	萬里同風
万里封侯	萬里封侯
万里无云	萬里無雲
万里晴空	萬里晴空
万里江山	萬里江山
万里迢迢	萬里迢迢
万里追踪	萬里追蹤
万里长城	萬里長城
万里长征	萬里長征
万里长江	萬里長江
万里长空	萬里長空
万里鹏程	萬里鵬程
万里鹏翼	萬里鵬翼
万金不换	萬金不換
万金之躯	萬金之軀
万钧之力	萬鈞之力
万顷琉璃	萬頃琉璃
万顷碧波	萬頃碧波
万马千军	萬馬千軍
万马奔腾	萬馬奔騰
万马皆瘖	萬馬皆瘖
万马齐喑	萬馬齊喑
万马齐瘖	萬馬齊瘖
丈八灯台	丈八燈臺
三代同堂	三代同堂
三元合金	三元合金
三冬两夏	三冬兩夏
三出祁山	三出祁山
三台联播	三臺聯播
三呼万岁	三呼萬歲
三回两转	三回兩轉
三回九曲	三回九曲
三回九转	三回九轉
三回五次	三回五次
三回五转	三回五轉
三坛大戒	三壇大戒
三复斯言	三復斯言
三复白圭	三復白圭
三大发明	三大發明
三大差别	三大差別
三头两面	三頭兩面
三娘教子	三孃教子
三对六面	三對六面
三征七辟	三徵七辟
三思而后	三思而後
三战两胜	三戰兩勝
三才图会	三才圖會
三振出局	三振出局
三星集团	三星集團
三极真空	三極真空
三次曲线	三次曲線
三江并流	三江並流
三浴三熏	三浴三熏
三熏三沐	三熏三沐
三瓦两舍	三瓦兩舍
三瓦四舍	三瓦四舍
三生有幸	三生有幸
三番四复	三番四復
三百千千	三百千千
三百多万	三百多萬
三百馀万	三百餘萬
三统历史	三統歷史
三角关系	三角關係
三角套汇	三角套匯
三部合唱	三部合唱
三门干部	三門幹部
三面亚当	三面亞當
三面夏娃	三面夏娃
三面红旗	三面紅旗
三马同槽	三馬同槽
三鹿集团	三鹿集團
上上个月	上上個月
上下交困	上下交困
上下同心	上下同心
上个星期	上個星期
上中下游	上中下游
上了岁数	上了歲數
上了年纪	上了年紀
上党梆子	上黨梆子
上冲下洗	上沖下洗
上升趋势	上升趨勢
上台演唱	上臺演唱
上台演奏	上臺演奏
上台演讲	上臺演講
上合组织	上合組織
上吊自杀	上吊自殺
上层建筑	上層建築
上梁不正	上樑不正
上游工业	上游工業
上野树里	上野樹里
下下个月	下下個月
下不了台	下不了臺
下不来台	下不來臺
下个星期	下個星期
下有苏杭	下有蘇杭
下游工业	下游工業
下笔千言	下筆千言
下里巴人	下里巴人
下面请看	下面請看
下风方向	下風方向
不一致字	不一致字
不上台盘	不上檯盤
不中于款	不中於款
不丰不杀	不豐不殺
不为牛后	不為牛後
不了之局	不了之局
不了了之	不了了之
不了了当	不了了當
不侮暗室	不侮暗室
不修小节	不修小節
不修帷薄	不修帷薄
不修边幅	不修邊幅
不假外出	不假外出
不克自制	不克自制
不再出版	不再出版
不准翻印	不准翻印
不减当年	不減當年
不出所料	不出所料
不分胜负	不分勝負
不分胜败	不分勝敗
不前不后	不前不後
不加修饰	不加修飾
不加区别	不加區別
不加自制	不加自制
不劳无获	不勞無獲
不劳而获	不勞而獲
不升反降	不升反降
不单只是	不單只是
不卜可知	不卜可知
不占凶吉	不占凶吉
不占吉凶	不占吉凶
不变价格	不變價格
不可同日	不可同日
不可向迩	不可向邇
不可战胜	不可戰勝
不可挽回	不可挽回
不可救药	不可救藥
不可胜书	不可勝書
不可胜原	不可勝原
不可胜数	不可勝數
不可胜纪	不可勝紀
不可胜言	不可勝言
不可胜计	不可勝計
不可胜记	不可勝記
不合体统	不合體統
不合时宜	不合時宜
不合标准	不合標準
不合规定	不合規定
不合逻辑	不合邏輯
不同以往	不同以往
不同凡响	不同凡響
不同印本	不同印本
不同日月	不同日月
不告而别	不告而別
不堪回首	不堪回首
不复存在	不復存在
不多几日	不多幾日
不大合时	不大合時
不大精采	不大精采
不好干涉	不好干涉
不好干預	不好干預
不好干预	不好干預
不嫌母丑	不嫌母醜
不学亡术	不學亡術
不学无术	不學無術
不安于位	不安於位
不安于室	不安於室
不完全叶	不完全葉
不寒而栗	不寒而慄
不对腔板	不對腔板
不尽相同	不盡相同
不尽道理	不盡道理
不差毫厘	不差毫釐
不差毫发	不差毫髮
不干不净	不乾不淨
不干己事	不干己事
不干着急	不乾著急
不幸之事	不幸之事
不幸之幸	不幸之幸
不幸受害	不幸受害
不幸的是	不幸的是
不当不对	不當不對
不当不正	不當不正
不当人子	不當人子
不当党产	不當黨產
不当得利	不當得利
不当稳便	不當穩便
不当耍处	不當耍處
不形于色	不形於色
不徇颜面	不徇顏面
不得台盘	不得檯盤
不念旧恶	不念舊惡
不恶而严	不惡而嚴
不情不愿	不情不願
不惮强御	不憚強禦
不战而胜	不戰而勝
不折不扣	不折不扣
不敢出声	不敢出聲
不敢出气	不敢出氣
不敢后人	不敢後人
不时之须	不時之須
不明就里	不明就裡
不是个儿	不是個兒
不是了处	不是了處
不是别人	不是別人
不极不反	不極不反
不染纤尘	不染纖塵
不欺暗室	不欺暗室
不止于此	不止於此
不毒不发	不毒不發
不求收获	不求收獲
不治之症	不治之症
不测风云	不測風雲
不消几日	不消幾日
不甘后人	不甘後人
不甚了了	不甚了了
不甚合意	不甚合意
不用斗了	不用鬥了
不畏强御	不畏強禦
不畏彊御	不畏彊禦
不留情面	不留情面
不知凡几	不知凡幾
不知去向	不知去向
不知所云	不知所云
不确定性	不確定性
不确定感	不確定感
不管闲事	不管閒事
不约而合	不約而合
不约而同	不約而同
不绝于耳	不絕於耳
不肯干休	不肯干休
不胜之态	不勝之態
不胜其扰	不勝其擾
不胜其烦	不勝其煩
不胜其苦	不勝其苦
不胜唏嘘	不勝唏噓
不胜感喟	不勝感喟
不胜感激	不勝感激
不胜枚举	不勝枚舉
不胜负荷	不勝負荷
不胜酒力	不勝酒力
不能出口	不能出口
不能尽数	不能盡數
不能胜数	不能勝數
不能自制	不能自制
不舍昼夜	不捨晝夜
不良于行	不良於行
不良倾向	不良傾向
不良适应	不良適應
不药而愈	不藥而癒
不药而癒	不藥而癒
不落人后	不落人後
不见世面	不見世面
不见识面	不見識面
不解之仇	不解之仇
不让须眉	不讓鬚眉
不讲情面	不講情面
不识局面	不識局面
不谈别的	不談別的
不谋而合	不謀而合
不谋而同	不謀而同
不负所托	不負所托
不赞一词	不讚一詞
不赞一辞	不讚一辭
不足为据	不足為據
不足之症	不足之症
不足回旋	不足回旋
不足挂齿	不足掛齒
不足采信	不足採信
不辞而别	不辭而別
不远万里	不遠萬里
不远千里	不遠千里
不连续面	不連續面
不通吊庆	不通弔慶
不遗余力	不遺餘力
不避彊御	不避彊禦
不锈钢板	不鏽鋼板
不降反升	不降反升
不顾前后	不顧前後
不顾后果	不顧後果
不顾曲直	不顧曲直
不顾闲野	不顧閒野
不食周粟	不食周粟
不食干腊	不食乾腊
不食烟火	不食煙火
不龟手药	不龜手藥
与他一斗	與他一鬥
与众不同	與眾不同
与国同休	與國同休
与她一斗	與她一鬥
与子同袍	與子同袍
与日同辉	與日同輝
与此同时	與此同時
与民同乐	與民同樂
与民同忧	與民同憂
丑声四溢	醜聲四溢
丑声远播	醜聲遠播
丑头怪脸	醜頭怪臉
丑女效颦	醜女效顰
丑态毕露	醜態畢露
丑态百出	醜態百出
丑类恶物	醜類惡物
专业人才	專業人才
专修科目	專修科目
专利药品	專利藥品
专制主义	專制主義
专制制度	專制制度
专制政体	專制政體
专制政府	專制政府
专制政治	專制政治
专制起来	專制起來
专勤制度	專勤制度
专家系统	專家系統
专家评价	專家評價
专心一志	專心一志
专心致志	專心致志
专柜小姐	專櫃小姐
专欲难成	專欲難成
专美于前	專美於前
专门人才	專門人才
专门术语	專門術語
世彩堂帖	世綵堂帖
世所周知	世所周知
世界大同	世界大同
世界杯室	世界盃室
世界杯赛	世界盃賽
世界纪录	世界紀錄
世界范围	世界範圍
世纪钟表	世紀鐘錶
丙种射线	丙種射線
业余大学	業餘大學
业余教育	業餘教育
业余爱好	業餘愛好
业务范围	業務範圍
业界标准	業界標準
业精于勤	業精於勤
业荒于嬉	業荒於嬉
业馀电台	業餘電臺
东冲西突	東衝西突
东周时代	東周時代
东周时期	東周時期
东奔西向	東奔西向
东山之志	東山之志
东山里站	東山里站
东征西怨	東征西怨
东征西讨	東征西討
东扬西荡	東揚西蕩
东折西绕	東折西繞
东挨西撞	東挨西撞
东挪西借	東挪西借
东摇西摆	東搖西擺
东方发白	東方發白
东方汇理	東方匯理
东欧集团	東歐集團
东海捞针	東海撈針
东涂西抹	東塗西抹
东窗事发	東窗事發
东荡西除	東蕩西除
东讨西征	東討西征
东谷拉瓦	東谷拉瓦
东邻西舍	東鄰西舍
东量西折	東量西折
东飘西荡	東飄西蕩
丝发之功	絲髮之功
丝恩发怨	絲恩髮怨
丝来线去	絲來線去
丢在脑后	丟在腦後
两个中国	兩個中國
两人同心	兩人同心
两厢情愿	兩廂情願
两叶掩目	兩葉掩目
两合公司	兩合公司
两国关系	兩國關係
两天晒网	兩天曬網
两头三面	兩頭三面
两头白面	兩頭白面
两岸关系	兩岸關係
两性关系	兩性關係
两情两愿	兩情兩願
两极分化	兩極分化
两极观点	兩極觀點
两百多万	兩百多萬
两相情愿	兩相情願
两眼发直	兩眼發直
两腿发软	兩腿發軟
两虎共斗	兩虎共鬥
两虎相斗	兩虎相鬥
两面三刀	兩面三刀
两面二舌	兩面二舌
两面作战	兩面作戰
两面夹攻	兩面夾攻
两面手法	兩面手法
两面讨好	兩面討好
两面转圜	兩面轉圜
两面顾全	兩面顧全
两鼠斗穴	兩鼠鬥穴
严丝合缝	嚴絲合縫
严了眼儿	嚴了眼兒
严于律己	嚴於律己
严加防范	嚴加防範
严禁吸烟	嚴禁吸菸
严禁烟火	嚴禁煙火
严重后果	嚴重後果
丧失殆尽	喪失殆盡
丧尽天良	喪盡天良
丧荡游魂	喪蕩游魂
个个称羡	個個稱羨
个中三昧	箇中三昧
个中原因	箇中原因
个中奥妙	箇中奧妙
个中奥秘	箇中奧祕
个中好手	箇中好手
个中强手	箇中強手
个中消息	箇中消息
个中滋味	箇中滋味
个中玄机	箇中玄機
个中理由	箇中理由
个中讯息	箇中訊息
个中资讯	箇中資訊
个中道理	箇中道理
个中高手	箇中高手
个人主义	個人主義
个人伤害	個人傷害
个人储蓄	個人儲蓄
个人利益	個人利益
个人单季	個人單季
个人卫生	個人衛生
个人外交	個人外交
个人崇拜	個人崇拜
个人得失	個人得失
个人所得	個人所得
个人护理	個人護理
个人拨接	個人撥接
个人本位	個人本位
个人消费	個人消費
个人用户	個人用戶
个人电脑	個人電腦
个人网站	個人網站
个人资料	個人資料
个人隐私	個人隱私
个人首页	個人首頁
个体发育	個體發育
个体所有	個體所有
个体经济	個體經濟
个别差异	個別差異
个别情况	個別情況
个别指导	個別指導
个别教学	個別教學
个别测验	個別測驗
个别现象	個別現象
个别生产	個別生產
个别谈话	個別談話
个别辅导	個別輔導
个性难改	個性難改
个案分析	個案分析
个案研究	個案研究
个案纪录	個案紀錄
中书舍人	中書舍人
中介社团	中介社團
中低价位	中低價位
中俄关系	中俄關系
中千世界	中千世界
中华台北	中華臺北
中原板荡	中原板蕩
中台医专	中臺醫專
中台禅寺	中臺禪寺
中国制造	中國製造
中国医药	中國醫藥
中国历史	中國歷史
中型钟表	中型鐘錶
中型钟面	中型鐘面
中央党部	中央黨部
中央汇金	中央匯金
中子俘获	中子俘獲
中度台风	中度颱風
中心汇率	中心匯率
中懑之症	中懣之症
中控面板	中控面板
中日关系	中日關係
中枢系统	中樞系統
中比关系	中比關係
中注模样	中注模樣
中秋佳节	中秋佳節
中秋月饼	中秋月餅
中程计划	中程計劃
中筋面粉	中筋麵粉
中美发表	中美發表
中药偏方	中藥偏方
中西合并	中西合併
中西合璧	中西合璧
中谷有蓷	中谷有蓷
中转柜台	中轉櫃檯
中远集团	中遠集團
中间纤维	中間纖維
丰上锐下	豐上銳下
丰亨豫大	豐亨豫大
丰俭由人	豐儉由人
丰功伟业	豐功偉業
丰功伟绩	豐功偉績
丰功厚利	豐功厚利
丰功大业	豐功大業
丰功懋烈	豐功懋烈
丰功盛烈	豐功盛烈
丰取刻与	豐取刻與
丰城剑气	豐城劍氣
丰城贯斗	豐城貫斗
丰姿冶丽	丰姿冶麗
丰姿绰约	丰姿綽約
丰容靓饰	豐容靚飾
丰富多彩	豐富多彩
丰川悦司	豐川悅司
丰年稔岁	豐年稔歲
丰标不凡	丰標不凡
丰神俊美	丰神俊美
丰神异彩	豐神異彩
丰神绰约	丰神綽約
丰神飘洒	丰神飄灑
丰臣秀吉	豐臣秀吉
丰衣足食	豐衣足食
丰饶丰足	豐饒豐足
临别依依	臨別依依
临别赠言	臨別贈言
临危致命	臨危致命
临去秋波	臨去秋波
临床特征	臨床特徵
临机制变	臨機制變
临机制胜	臨機制勝
临江折轴	臨江折軸
临潼斗宝	臨潼鬥寶
丹徒布衣	丹徒布衣
为人师表	為人師表
为恶不悛	為惡不悛
为所欲为	為所欲為
主修科目	主修科目
主干家庭	主幹家庭
主干网络	主幹網絡
主干网路	主幹網路
主法向量	主法向量
主要树种	主要樹種
主钟曲线	主鐘曲線
举不胜举	舉不勝舉
举例发凡	舉例發凡
举手可采	舉手可采
举手表决	舉手表決
举措失当	舉措失當
举杯畅饮	舉杯暢飲
举止闲冶	舉止閒冶
举目千里	舉目千里
举荐征辟	舉薦征辟
久仰山斗	久仰山斗
久别相逢	久別相逢
久别重逢	久別重逢
久违颜范	久違顏範
义义合合	義義合合
义同生死	義同生死
义大利杯	義大利杯
义大利面	義大利麵
义形于色	義形於色
义气干霄	義氣干霄
义薄云天	義薄雲天
之八九只	之八九只
乌东察克	烏東察克
乌东査克	烏東查克
乌云密布	烏雲密佈
乌云蔽日	烏雲蔽日
乌克丽丽	烏克麗麗
乌克兰人	烏克蘭人
乌克兰籍	烏克蘭籍
乌克兰队	烏克蘭隊
乌兰察布	烏蘭察布
乌兰巴托	烏蘭巴托
乌兹别克	烏茲別克
乌合之众	烏合之眾
乌合之卒	烏合之卒
乌孜别克	烏孜別克
乌洛托品	烏洛托品
乌滋别克	烏滋別克
乌烟瘴气	烏煙瘴氣
乌苏里江	烏蘇里江
乐不可极	樂不可極
乐于助人	樂於助人
乐府杂录	樂府雜錄
乐极则悲	樂極則悲
乐极忘形	樂極忘形
乐极悲来	樂極悲來
乐极悲生	樂極悲生
乐极生悲	樂極生悲
乐祸幸灾	樂禍幸災
乐颠了馅	樂顛了餡
乒乓球台	乒乓球檯
乔做胡为	喬做胡為
乔松之寿	喬松之壽
乘凶完配	乘凶完配
乘奔御风	乘奔御風
乘胜追击	乘勝追擊
乘胜逐北	乘勝逐北
乘鹤驾云	乘鶴駕雲
乙种射线	乙種射線
乙种粒子	乙種粒子
九世之仇	九世之仇
九出祁山	九出祁山
九合一匡	九合一匡
九吊六的	九吊六的
九宵云外	九宵雲外
九折优待	九折優待
九炼成钢	九鍊成鋼
九章算术	九章算術
九霄云外	九霄雲外
九龙表行	九龍表行
乞留恶滥	乞留惡濫
乞留曲律	乞留曲律
也不尽然	也不盡然
也斗了胆	也斗了膽
习非胜是	習非勝是
乡党尚齿	鄉黨尚齒
乡土艺术	鄉土藝術
乡曲之誉	鄉曲之譽
乡民代表	鄉民代表
乡里小人	鄉里小人
乡镇代表	鄉鎮代表
乡间别墅	鄉間別墅
书不尽言	書不盡言
书刊杂志	書刊雜誌
书报杂志	書報雜誌
书面报告	書面報告
书面许可	書面許可
书面资料	書面資料
买臣复水	買臣覆水
乱世凶年	亂世凶年
乱了手脚	亂了手腳
乱作一团	亂作一團
乱成一团	亂成一團
乱极则平	亂極則平
乱棒胡敲	亂棒胡敲
乱首垢面	亂首垢面
乳液聚合	乳液聚合
乳臭未干	乳臭未乾
乳药求死	乳藥求死
乾坤一掷	乾坤一擲
乾坤再造	乾坤再造
乾尽午中	乾盡午中
乾隆年间	乾隆年間
乾隆皇帝	乾隆皇帝
了却此生	了卻此生
了如指掌	瞭如指掌
了当不得	了當不得
了无挂碍	了無掛礙
了无新意	了無新意
了无牵挂	了無牽掛
了无生机	了無生機
了无生趣	了無生趣
了无痕迹	了無痕跡
了无罣碍	了無罣礙
了无长进	了無長進
了此残生	了此殘生
了然不惑	瞭然不惑
了然于心	瞭然於心
了若指掌	瞭若指掌
了身达命	了身達命
争先发言	爭先發言
争先恐后	爭先恐後
争奇斗妍	爭奇鬥妍
争奇斗异	爭奇鬥異
争奇斗艳	爭奇鬥豔
争妍斗奇	爭妍鬥奇
争妍斗胜	爭妍鬥勝
争妍斗艳	爭妍鬥豔
争强好胜	爭強好勝
争强斗胜	爭強鬥勝
争强显胜	爭強顯勝
争强赌胜	爭強賭勝
争斗不休	爭鬥不休
争相罗致	爭相羅致
争红斗紫	爭紅鬥紫
争胜要强	爭勝要強
事与愿违	事與願違
事出不意	事出不意
事出不测	事出不測
事出有因	事出有因
事前事后	事前事後
事发地点	事發地點
事后聪明	事後聰明
事态发展	事態發展
事情可干	事情可幹
事情好干	事情好幹
事情干脆	事情干脆
事成之后	事成之後
事有斗巧	事有鬥巧
二出祁山	二出祁山
二堂舍子	二堂舍子
二拉八当	二拉八當
二次曲线	二次曲線
二次曲面	二次曲面
二流人才	二流人才
二百多万	二百多萬
二缶钟惑	二缶鐘惑
二虎相斗	二虎相鬥
二表姊夫	二表姊夫
二进位制	二進位制
二部合唱	二部合唱
二门不出	二門不出
于事无济	於事無濟
于事无补	於事無補
于今犹烈	於今猶烈
于余曲折	于餘曲折
于呼哀哉	於呼哀哉
于家为国	於家為國
于尔里克	于爾里克
于心不安	於心不安
于心不忍	於心不忍
于心何忍	於心何忍
于心无愧	於心無愧
于斯塔德	于斯塔德
于斯达尔	于斯達爾
于斯達爾	于斯達爾
于民润国	於民潤國
于法无据	於法無據
于爾里克	于爾里克
于飞之乐	于飛之樂
于馀曲折	于餘曲折
亏本出售	虧本出售
云中白鹤	雲中白鶴
云仙杂记	雲仙雜記
云兴霞蔚	雲興霞蔚
云冈石佛	雲岡石佛
云冈石窟	雲岡石窟
云出无心	雲出無心
云南回变	雲南回變
云南白药	雲南白藥
云南起义	雲南起義
云南黄馨	雲南黃馨
云合雾集	雲合霧集
云天高谊	雲天高誼
云屯雨集	雲屯雨集
云山雾罩	雲山霧罩
云开见日	雲開見日
云形定规	雲形定規
云情雨意	雲情雨意
云收雨散	雲收雨散
云收雾散	雲收霧散
云散风流	雲散風流
云林工专	雲林工專
云梦大泽	雲夢大澤
云水道人	雲水道人
云泥之别	雲泥之別
云泥异路	雲泥異路
云消雨散	雲消雨散
云消雾散	雲消霧散
云淡风轻	雲淡風輕
云游四方	雲遊四方
云烟过眼	雲煙過眼
云程发轫	雲程發軔
云窗雾槛	雲窗霧檻
云笈七签	雲笈七籤
云笈七籤	雲笈七籤
云翻雨复	雲翻雨覆
云英未嫁	雲英未嫁
云蒸霞蔚	雲蒸霞蔚
云行雨施	雲行雨施
云谲波诡	雲譎波詭
云贵高原	雲貴高原
云起龙骧	雲起龍驤
云车风马	雲車風馬
云门舞集	雲門舞集
云阶月地	雲階月地
云雨之欢	雲雨之歡
云雨巫山	雲雨巫山
云雨高唐	雲雨高唐
云雾径迹	雲霧徑跡
云霄飞车	雲霄飛車
云霓之望	雲霓之望
云麾勋章	雲麾勳章
云龙风虎	雲龍風虎
互不干涉	互不干涉
互别苗头	互別苗頭
互动关系	互動關係
互助合作	互助合作
互有胜负	互有勝負
互相联系	互相聯繫
互致问候	互致問候
互蒙其利	互蒙其利
五七干校	五七幹校
五万三千	五萬三千
五万两千	五萬兩千
五万五千	五萬五千
五万八千	五萬八千
五世同堂	五世同堂
五代同堂	五代同堂
五倍子虫	五倍子蟲
五出祁山	五出祁山
五十五万	五十五萬
五十六万	五十六萬
五十多万	五十多萬
五千多万	五千多萬
五年计划	五年計劃
五彩夺目	五彩奪目
五彩宾纷	五彩賓紛
五彩缤纷	五彩繽紛
五斗折腰	五斗折腰
五斗米道	五斗米道
五斗解酲	五斗解酲
五浊恶世	五濁惡世
五百多万	五百多萬
五育并重	五育並重
五胡之乱	五胡之亂
五胡乱华	五胡亂華
五脏俱全	五臟俱全
五脏六腑	五臟六腑
五色祥云	五色祥雲
五行并下	五行並下
五行生克	五行生剋
五谷不分	五穀不分
五谷不升	五穀不升
五谷丰收	五穀豐收
五谷丰登	五穀豐登
五谷丰稔	五穀豐稔
五谷杂粮	五穀雜糧
五里雾中	五里霧中
五马分尸	五馬分屍
井干摧败	井榦摧敗
井田制度	井田制度
亚东关系	亞東關係
亚历山大	亞歷山大
